commit,parent1,parent2,ancestor,is pr,added lines,deleted lines,devs parent1,devs parent2,time,nr files,added files,deleted files,renamed files,copied files,modified files,nr commits1,nr commits2,density1,density2,fix,bug,feature,improve,document,refactor,update,add,remove,use,delete,change,messages_min,messages_max,messages_mean,messages_median,conflict,avg_density,avg_density_cat,added_lines_per_commit,deleted_lines_per_commit,files_per_commit,files_per_developer,messages_per_commit,commit_per_developer_on_branch1,commit_per_developer_on_branch2
13789,21429,4379,10178,1,789,23,1,1,164,2,7,1,0,0,10,2,12,2,7,1,0,0,0,0,0,2,1,0,0,0,0,20,90,50.166666666666664,51.5,0,4.5,2,56.357142857142854,1.6428571428571428,0.14285714285714285,1.0,3.583333333333333,2.0,12.0
8341,967,6173,7015,1,773,7,6,1,62,1,2,0,0,0,1,18,1,9,1,8,0,1,0,0,0,2,2,0,1,0,1,94,147,122.94444444444444,126.0,0,5.0,2,40.68421052631579,0.3684210526315789,0.05263157894736842,0.14285714285714285,6.470760233918129,3.0,1.0
15595,3107,15251,5823,0,16834,6906,4,57,381,2,53,0,0,0,330,24,176,0,62,53,7,0,3,1,4,6,58,8,12,0,0,14,167,72.2784090909091,66.5,0,31.0,3,84.17,34.53,0.01,0.03278688524590164,0.36139204545454545,6.0,3.087719298245614
10530,4292,25795,12800,1,4,4,42,1,470,1,0,0,0,0,2,350,1,112,0,83,20,0,5,5,2,32,49,15,29,0,7,64,555,107.93142857142855,103.0,0,56.0,3,0.011396011396011397,0.011396011396011397,0.002849002849002849,0.023255813953488372,0.30749694749694745,8.333333333333334,1.0
11725,17089,16110,7596,1,44,22,7,1,28,1,0,0,0,0,3,26,1,5,0,7,0,0,0,1,0,2,3,0,1,0,2,61,215,98.6153846153846,90.5,0,2.5,2,1.6296296296296295,0.8148148148148148,0.037037037037037035,0.125,3.6524216524216517,3.7142857142857144,1.0
21282,3782,1505,522,1,8,8,16,1,175,1,0,0,0,0,2,39,2,33,1,4,0,0,0,0,2,1,1,5,4,0,17,34,281,70.17948717948718,51.0,0,17.0,3,0.1951219512195122,0.1951219512195122,0.024390243902439025,0.058823529411764705,1.7116948092557849,2.4375,2.0
14811,2543,8026,12315,1,96,3,5,1,35,1,0,0,0,0,5,17,2,4,1,4,0,0,0,0,1,1,1,1,1,0,1,59,148,103.58823529411764,106.0,0,2.5,2,5.052631578947368,0.15789473684210525,0.05263157894736842,0.16666666666666666,5.452012383900929,3.4,2.0
24267,25057,15386,809,1,1,0,4,1,136,1,0,0,0,0,1,6,1,5,1,0,0,0,0,0,0,1,3,0,0,0,0,34,72,51.0,47.0,0,3.0,2,0.14285714285714285,0.0,0.14285714285714285,0.2,7.285714285714286,1.5,1.0
25585,9934,15028,14107,1,1,4,6,1,22,1,0,0,0,0,1,6,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,28,79,56.666666666666664,62.0,0,0.0,,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,8.095238095238095,1.0,1.0
26,15698,19483,7402,1,1,0,1,1,706,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,47,47,47.0,47.0,0,0.0,,0.5,0.0,0.5,0.5,23.5,1.0,1.0
22972,14381,10887,14965,1,1,1,6,1,44,1,0,0,0,0,1,13,1,3,0,2,0,1,0,1,0,1,3,0,0,0,1,82,151,112.3846153846154,107.0,0,1.5,2,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,8.02747252747253,2.1666666666666665,1.0
12256,3387,3878,907,1,11,0,2,1,361,1,0,0,0,0,1,7,1,0,1,0,1,0,0,0,0,1,5,0,0,0,0,29,65,53.57142857142857,57.0,0,0.5,1,1.375,0.0,0.125,0.3333333333333333,6.696428571428571,3.5,1.0
9919,5289,24582,3780,1,1,0,122,1,7940,1,0,0,0,0,1,317,1,0,1,24,0,4,0,1,0,47,123,33,7,1,7,37,120,59.82334384858044,58.0,0,0.5,1,0.0031446540880503146,0.0,0.0031446540880503146,0.008130081300813009,0.1881237227942781,2.598360655737705,1.0
15409,5527,26152,11235,0,163,66,17,1,39,3,0,0,0,0,4,40,8,13,7,11,3,0,0,1,2,4,13,0,2,0,1,57,206,113.0,105.5,1,10.0,3,3.3958333333333335,1.375,0.0625,0.16666666666666666,2.3541666666666665,2.3529411764705883,8.0
14972,1472,19430,14994,0,4,1,2,3,19,1,0,0,0,0,2,12,4,0,1,2,0,0,0,0,0,2,1,0,0,0,0,49,109,76.08333333333333,75.5,0,0.5,1,0.25,0.0625,0.0625,0.2,4.755208333333333,6.0,1.3333333333333333
15566,18985,10769,5019,0,2,0,62,1,4353,1,0,0,0,0,1,233,1,27,0,10,4,0,0,1,0,24,98,6,3,0,0,37,103,66.0214592274678,69.0,1,13.5,3,0.008547008547008548,0.0,0.004273504273504274,0.015873015873015872,0.2821429881515718,3.7580645161290325,1.0
9298,7948,5546,18416,1,474,0,4,1,106,1,1,0,0,0,2,20,1,18,1,0,0,0,0,0,0,0,3,0,0,0,0,47,97,72.9,74.5,0,9.5,3,22.571428571428573,0.0,0.047619047619047616,0.2,3.4714285714285715,5.0,1.0
21861,364,4914,10078,0,1406,1998,1,6,57,1,6,11,21,0,10,1,41,0,9,2,1,0,0,4,2,2,3,3,3,0,1,175,259,203.6829268292683,201.0,0,4.5,2,33.476190476190474,47.57142857142857,0.023809523809523808,0.14285714285714285,4.849593495934959,1.0,6.833333333333333
8315,14784,7128,6684,1,1,0,2,1,238,1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,19,55,36.0,34.0,0,0.5,1,0.25,0.0,0.25,0.3333333333333333,9.0,1.5,1.0
1781,21740,23394,6352,0,3,3,1,3,193,1,0,0,0,0,1,1,6,0,4,1,0,0,0,0,0,1,1,1,0,0,0,60,83,69.5,69.0,0,2.0,2,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.25,9.928571428571429,1.0,2.0
2209,17763,25100,8878,0,136,13,7,1,46,2,1,0,0,0,13,18,1,11,0,3,0,0,0,0,0,2,3,0,2,0,3,54,132,87.94444444444444,85.5,0,5.5,3,7.157894736842105,0.6842105263157895,0.10526315789473684,0.25,4.628654970760234,2.5714285714285716,1.0
20312,17651,18753,15801,1,1,1,2,1,3,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,54,75,64.5,64.5,0,0.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,21.5,1.0,1.0
18739,25264,16969,13977,0,0,3,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,46,46.0,46.0,1,0.0,,0.0,1.5,0.5,0.5,23.0,1.0,1.0
10632,25837,2642,10884,0,306,0,1,2,23,2,0,0,0,0,2,2,30,0,0,0,0,0,0,0,0,3,29,0,0,0,0,45,95,80.4,80.0,1,0.0,,9.5625,0.0,0.0625,0.6666666666666666,2.5125,2.0,15.0
13475,17028,5951,3260,0,8,3,1,3,16,1,0,0,0,0,5,2,12,0,0,4,0,0,0,0,0,1,0,1,0,0,0,42,92,74.66666666666666,80.5,1,0.0,,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.25,5.333333333333333,2.0,4.0
17498,21767,12264,6867,1,1,0,5,1,18,1,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,1,5,2,0,0,0,39,96,66.125,64.5,0,0.0,,0.1,0.0,0.1,0.16666666666666666,6.6125,1.6,2.0
17365,25022,15404,16864,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,16,16.0,16.0,1,0.0,,0.0,0.0,1.0,1.0,8.0,1.0,1.0
21556,17537,26271,3264,0,185,50,5,9,1562,13,0,0,0,0,13,97,17,2,1,47,3,0,2,0,0,7,17,6,0,0,4,22,188,67.71194663432382,67.0,1,1.5,2,1.6228070175438596,0.43859649122807015,0.11403508771929824,0.9285714285714286,0.5939644441607352,19.4,1.8888888888888888
25925,25923,7666,5360,0,25,0,25,1,207,1,0,0,0,0,1,95,1,64,0,22,1,3,1,2,0,7,22,2,6,0,7,97,301,152.81052631578947,144.0,0,32.0,3,0.2604166666666667,0.0,0.010416666666666666,0.038461538461538464,1.5917763157894738,3.8,1.0
21393,1945,24731,5437,0,114,0,1,2,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28,66,51.666666666666664,61.0,0,0.0,,28.5,0.0,0.25,0.3333333333333333,12.916666666666666,1.0,1.5
22444,17901,7748,5108,0,3631,2541,8,26,137,1,32,30,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,inf,inf,inf,0.029411764705882353,,0.0,0.0
14038,4777,674,4465,1,19,19,4,1,26,1,0,0,0,0,1,9,1,5,0,4,0,0,0,0,0,0,1,0,0,0,0,69,102,89.0,91.0,0,2.5,2,1.9,1.9,0.1,0.2,8.9,2.25,1.0
20388,9271,21310,14690,1,39,2,12,1,410,1,0,0,0,0,2,47,2,27,0,12,0,0,0,1,0,4,15,1,0,0,1,46,163,90.51063829787232,91.0,0,13.5,3,0.7959183673469388,0.04081632653061224,0.02040816326530612,0.07692307692307693,1.8471558836300472,3.9166666666666665,2.0
7967,24742,6110,2307,0,303,128,1,132,7777,1,2,0,0,0,7,1,347,0,0,26,0,4,0,1,0,51,131,37,7,1,8,45,128,68.24495677233429,67.0,1,0.0,,0.8706896551724138,0.367816091954023,0.0028735632183908046,0.007518796992481203,0.19610619762165027,1.0,2.628787878787879
